iter	Passed	Remaining
0	512	204478
1	983	195793
2	1433	189739
3	1903	188475
4	2340	184862
5	2895	190142
6	3368	189119
7	3854	188849
8	4329	188103
9	4832	188484
10	5343	188967
11	5796	187431
12	6238	185720
13	6684	184294
14	7135	183132
15	7640	183362
16	8158	183815
17	8673	184067
18	9201	184508
19	9643	183220
20	10082	181968
21	10534	181003
22	11017	180596
23	11462	179581
24	11896	178444
25	12331	177390
26	12820	177106
27	13249	176027
28	13701	175289
29	14183	174931
30	14611	173923
31	15049	173071
32	15493	172304
33	15922	171397
34	16361	170624
35	16789	169763
36	17112	167891
37	17519	166895
38	17956	166211
39	18417	165755
40	18841	164979
41	19267	164232
42	19690	163474
43	20180	163274
44	20674	163098
45	21032	161857
46	21438	161015
47	21914	160703
48	22356	160146
49	22783	159483
50	23177	158604
51	23576	157779
52	24054	157490
53	24514	157074
54	24986	156734
55	25366	155822
56	25814	155337
57	26235	154700
58	26654	154055
59	27089	153508
60	27488	152765
61	27949	152370
62	28377	151797
63	28815	151283
64	29245	150727
65	29669	150148
66	30064	149425
67	30479	148812
68	30914	148298
69	31322	147663
70	31739	147075
71	32229	146825
72	32681	146393
73	33174	146148
74	33585	145536
75	34038	145110
76	34458	144546
77	34908	144109
78	35349	143635
79	35740	142962
80	36165	142427
81	36590	141900
82	36995	141294
83	37471	140963
84	37916	140514
85	38344	140002
86	38762	139455
87	39210	139019
88	39677	138649
89	40097	138113
90	40561	137732
91	41071	137500
92	41513	137037
93	41939	136525
94	42382	136069
95	42758	135400
96	43184	134895
97	43617	134413
98	44032	133876
99	44528	133584
100	44970	133130
101	45366	132541
102	45803	132073
103	46279	131719
104	46699	131204
105	47135	130734
106	47528	130148
107	47952	129648
108	48379	129160
109	48783	128611
110	49211	128127
111	49610	127571
112	50030	127067
113	50446	126558
114	50885	126106
115	51328	125665
116	51748	125168
117	52140	124607
118	52630	124278
119	53045	123772
120	53473	123298
121	53892	122804
122	54317	122324
123	54741	121844
124	55132	121292
125	55546	120792
126	55981	120339
127	56400	119850
128	56798	119320
129	57243	118890
130	57658	118397
131	58072	117904
132	58525	117491
133	58942	117005
134	59401	116603
135	59797	116076
136	60231	115626
137	60618	115088
138	61035	114606
139	61426	114078
140	61853	113616
141	62267	113133
142	62664	112620
143	63115	112205
144	63563	111784
145	63999	111342
146	64461	110943
147	64931	110558
148	65346	110080
149	65755	109592
150	66178	109128
151	66628	108709
152	67059	108258
153	67468	107774
154	67877	107290
155	68302	106832
156	68703	106338
157	69160	105929
158	69589	105477
159	69989	104983
160	70386	104486
161	70861	104104
162	71249	103595
163	71669	103134
164	72130	102731
165	72516	102221
166	73018	101876
167	73523	101533
168	73974	101112
169	74440	100714
170	74901	100306
171	75298	99814
172	75768	99418
173	76229	99010
174	76657	98560
175	77157	98200
176	77578	97740
177	77984	97262
178	78457	96867
179	78918	96456
180	79353	96012
181	79788	95570
182	80238	95146
183	80640	94664
184	81129	94285
185	81548	93824
186	81982	93381
187	82386	92903
188	82824	92465
189	83228	91989
190	83679	91565
191	84119	91129
192	84549	90682
193	84977	90233
194	85357	89735
195	85771	89272
196	86223	88849
197	86617	88366
198	87079	87954
199	87533	87533
200	88019	87143
201	88566	86812
202	89019	86387
203	89507	85997
204	90014	85623
205	90431	85163
206	90860	84715
207	91299	84276
208	91846	83936
209	92324	83532
210	92771	83098
211	93197	82646
212	93629	82200
213	94062	81755
214	94492	81307
215	94964	80895
216	95401	80453
217	95863	80032
218	96321	79607
219	96736	79148
220	97156	78692
221	97639	78287
222	98071	77841
223	98457	77359
224	98926	76942
225	99408	76535
226	99793	76054
227	100222	75606
228	100654	75160
229	101070	74703
230	101480	74243
231	101878	73773
232	102298	73321
233	102717	72868
234	103119	72403
235	103537	71950
236	103954	71496
237	104337	71019
238	104756	70567
239	105208	70138
240	105642	69697
241	106055	69242
242	106465	68786
243	106874	68329
244	107346	67912
245	107805	67487
246	108228	67040
247	108653	66594
248	109070	66143
249	109488	65693
250	109898	65238
251	110329	64796
252	110855	64410
253	111271	63959
254	111692	63511
255	112142	63080
256	112581	62642
257	113070	62232
258	113487	61782
259	113967	61367
260	114451	60953
261	114822	60479
262	115248	60034
263	115667	59586
264	116127	59159
265	116534	58705
266	116979	58270
267	117406	57827
268	117849	57391
269	118283	56951
270	118724	56514
271	119160	56075
272	119595	55636
273	120056	55208
274	120562	54800
275	120989	54357
276	121408	53910
277	121836	53467
278	122257	53021
279	122748	52606
280	123246	52193
281	123694	51758
282	124138	51322
283	124570	50880
284	124966	50425
285	125424	49994
286	125848	49550
287	126230	49089
288	126656	48646
289	127077	48201
290	127491	47754
291	127894	47303
292	128349	46871
293	128747	46419
294	129171	45976
295	129588	45531
296	129995	45082
297	130399	44633
298	130849	44199
299	131223	43741
300	131697	43315
301	132119	42873
302	132550	42433
303	132917	41974
304	133348	41534
305	133795	41100
306	134265	40673
307	134663	40224
308	135128	39795
309	135523	39345
310	135974	38912
311	136447	38485
312	136879	38046
313	137296	37603
314	137791	37181
315	138216	36741
316	138606	36291
317	139039	35852
318	139479	35416
319	139927	34981
320	140354	34542
321	140823	34112
322	141311	33687
323	141755	33251
324	142194	32814
325	142598	32369
326	143046	31933
327	143470	31493
328	143934	31061
329	144351	30619
330	144793	30183
331	145279	29756
332	145705	29316
333	146146	28879
334	146548	28434
335	146968	27994
336	147363	27548
337	147834	27117
338	148217	26670
339	148642	26231
340	149073	25792
341	149562	25364
342	149942	24917
343	150418	24486
344	150867	24051
345	151233	23602
346	151742	23176
347	152254	22750
348	152606	22300
349	153086	21869
350	153507	21429
351	153954	20993
352	154431	20561
353	154825	20118
354	155234	19677
355	155700	19243
356	156087	18800
357	156535	18364
358	156975	17927
359	157367	17485
360	157812	17049
361	158274	16614
362	158666	16172
363	159104	15735
364	159491	15293
365	159998	14863
366	160405	14423
367	160862	13988
368	161266	13548
369	161714	13111
370	162156	12675
371	162609	12239
372	163016	11800
373	163483	11365
374	163863	10924
375	164338	10489
376	164819	10055
377	165236	9616
378	165686	9180
379	166077	8740
380	166483	8302
381	166933	7865
382	167355	7428
383	167785	6991
384	168171	6552
385	168625	6115
386	169055	5678
387	169502	5242
388	169956	4805
389	170350	4367
390	170773	3930
391	171245	3494
392	171733	3058
393	172153	2621
394	172601	2184
395	173007	1747
396	173452	1310
397	173887	873
398	174288	436
399	174759	0
